DEPADM;DEPBOL;NOMEDEPBOL;CODRMET;REGIAOMETROPOLITANA;SERIE_ANO;COD_PER;PERIODO;CO_COMP;DS_COMP;MEDPROF
1;1;Rede Estadual;6;Região Metropolitana de Ribeirão Preto;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;229,5
1;1;Rede Estadual;6;Região Metropolitana de Ribeirão Preto;9º Ano EF;9;GERAL;2;MATEMÁTICA;244,1
1;1;Rede Estadual;7;Região Metropolitana de Sorocaba;2º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;185,3
1;1;Rede Estadual;7;Região Metropolitana de Sorocaba;2º Ano EF;1;MANHÃ;2;MATEMÁTICA;178,6
1;1;Rede Estadual;7;Região Metropolitana de Sorocaba;2º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;173,4
1;1;Rede Estadual;7;Região Metropolitana de Sorocaba;2º Ano EF;2;TARDE;2;MATEMÁTICA;165,1
1;1;Rede Estadual;7;Região Metropolitana de Sorocaba;2º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;175,9
1;1;Rede Estadual;7;Região Metropolitana de Sorocaba;2º Ano EF;9;GERAL;2;MATEMÁTICA;167,9
1;1;Rede Estadual;7;Região Metropolitana de Sorocaba;5º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;210,4
1;1;Rede Estadual;7;Região Metropolitana de Sorocaba;5º Ano EF;1;MANHÃ;2;MATEMÁTICA;225,7
1;1;Rede Estadual;7;Região Metropolitana de Sorocaba;5º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;198,2
1;1;Rede Estadual;7;Região Metropolitana de Sorocaba;5º Ano EF;2;TARDE;2;MATEMÁTICA;212
1;1;Rede Estadual;7;Região Metropolitana de Sorocaba;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;208,2
1;1;Rede Estadual;7;Região Metropolitana de Sorocaba;5º Ano EF;9;GERAL;2;MATEMÁTICA;223,3
1;1;Rede Estadual;7;Região Metropolitana de Sorocaba;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;240,6
1;1;Rede Estadual;7;Região Metropolitana de Sorocaba;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;251,5
1;1;Rede Estadual;7;Região Metropolitana de Sorocaba;9º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;236
1;1;Rede Estadual;7;Região Metropolitana de Sorocaba;9º Ano EF;2;TARDE;2;MATEMÁTICA;244,5
1;1;Rede Estadual;7;Região Metropolitana de Sorocaba;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;240,3
1;1;Rede Estadual;7;Região Metropolitana de Sorocaba;9º Ano EF;9;GERAL;2;MATEMÁTICA;251,1
1;1;Rede Estadual;9;ESTADO;2º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;178,6
1;1;Rede Estadual;9;ESTADO;2º Ano EF;1;MANHÃ;2;MATEMÁTICA;171,3
1;1;Rede Estadual;9;ESTADO;2º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;172,6
1;1;Rede Estadual;9;ESTADO;2º Ano EF;2;TARDE;2;MATEMÁTICA;164,9
1;1;Rede Estadual;9;ESTADO;2º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;174,8
1;1;Rede Estadual;9;ESTADO;2º Ano EF;9;GERAL;2;MATEMÁTICA;167,2
1;1;Rede Estadual;9;ESTADO;5º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;201,9
1;1;Rede Estadual;9;ESTADO;5º Ano EF;1;MANHÃ;2;MATEMÁTICA;216,8
1;1;Rede Estadual;9;ESTADO;5º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;198,6
1;1;Rede Estadual;9;ESTADO;5º Ano EF;2;TARDE;2;MATEMÁTICA;212,6
1;1;Rede Estadual;9;ESTADO;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;200,8
1;1;Rede Estadual;9;ESTADO;5º Ano EF;9;GERAL;2;MATEMÁTICA;215,4
1;1;Rede Estadual;9;ESTADO;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;235,1
1;1;Rede Estadual;9;ESTADO;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;247,3
1;1;Rede Estadual;9;ESTADO;9º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;231,7
1;1;Rede Estadual;9;ESTADO;9º Ano EF;2;TARDE;2;MATEMÁTICA;241,9
1;1;Rede Estadual;9;ESTADO;9º Ano EF;3;NOITE;1;LÍNGUA PORTUGUESA;207,6
1;1;Rede Estadual;9;ESTADO;9º Ano EF;3;NOITE;2;MATEMÁTICA;227,5
1;1;Rede Estadual;9;ESTADO;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;234,4
1;1;Rede Estadual;9;ESTADO;9º Ano EF;9;GERAL;2;MATEMÁTICA;246,3
2;2;Rede Municipal;1;Região Metropolitana de São Paulo;2º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;163,4
2;2;Rede Municipal;1;Região Metropolitana de São Paulo;2º Ano EF;1;MANHÃ;2;MATEMÁTICA;157,3
2;2;Rede Municipal;1;Região Metropolitana de São Paulo;2º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;162,9
2;2;Rede Municipal;1;Região Metropolitana de São Paulo;2º Ano EF;2;TARDE;2;MATEMÁTICA;156,4
2;2;Rede Municipal;1;Região Metropolitana de São Paulo;2º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;163,1
2;2;Rede Municipal;1;Região Metropolitana de São Paulo;2º Ano EF;9;GERAL;2;MATEMÁTICA;156,7
2;2;Rede Municipal;1;Região Metropolitana de São Paulo;5º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;194,5
2;2;Rede Municipal;1;Região Metropolitana de São Paulo;5º Ano EF;1;MANHÃ;2;MATEMÁTICA;205,6
