Sigla da UF;Código do Município;Nome do Município;Código da Escola;Nome da Escola;Rede;Matemática;Língua Portuguesa;Nota Média Padronizada (N)
PR;4116109;Moreira Sales;41013549;JOAO THEOTONIO NETTO C E EF M N;Estadual;262.83;270.38;4.428552
PR;4116109;Moreira Sales;41013565;MARIA CAIDA DE JESUS C E C EF M;Estadual;247.89;266.05;4.1539
PR;4116208;Morretes;41140311;ROCHA POMBO C E EF M N PROFIS;Estadual;282.68;286.95;4.955398
PR;4116208;Morretes;41598091;OSNY DAVID FRAGA C E VER EM;Estadual;;;
PR;4116307;Munhoz de Melo;41020499;JOSE F SALDANHA C E ENG EF M;Estadual;***;***;
PR;4116406;Nossa Senhora das Graças;41020553;IVAN F A SILVA FILHO C E DR EF M;Estadual;***;***;
PR;4116505;Nova Aliança do Ivaí;41001451;CAETANO M DA ROCHA C E DR EF M;Estadual;266.36;279.41;4.61331
PR;4116604;Nova América da Colina;41045092;PAULO VI C E PAPA EF M;Estadual;271.62;273.36;4.596617
PR;4116703;Nova Aurora;41074653;MACHADO DE ASSIS C E EF M PROFIS;Estadual;275.84;279.67;4.750348
PR;4116703;Nova Aurora;41074734;PEDRO V P DE SOUZA C E C EF M;Estadual;;;
PR;4116703;Nova Aurora;41074858;WENCESLAU BRAS C E C EFM;Estadual;269.52;280.17;4.669069
PR;4116802;Nova Cantu;41013867;JOAO F COSTA C E PROF EF M PROFIS;Estadual;283.71;289.73;5.011481
PR;4116802;Nova Cantu;41013999;RUI BARBOSA C E C EF M;Estadual;;;
PR;4116802;Nova Cantu;41014014;SANTO REI C E C EF M;Estadual;;;
PR;4116901;Nova Esperança;41020634;COLEGIO CORACAO DE JESUS - EIEFM;Privada;;;
PR;4116901;Nova Esperança;41020820;SAO VICENTE DE PAULA C E EF M N PROFIS;Estadual;279.25;278.16;4.775637
PR;4116950;Nova Esperança do Sudoeste;41087348;NOVA ESPERANCA C E EF M PROFIS;Estadual;276.09;284.24;4.822273
PR;4117008;Nova Fátima;41045149;ADELAIDE GLASER ROSS C E EM PROFIS;Estadual;257.64;268.26;4.323922
PR;4117057;Nova Laranjeiras;41103289;GUARANI DA ESTRATEGICA C E C EF M;Estadual;285.6;274.14;4.804642
PR;4117057;Nova Laranjeiras;41103556;RIO DA PRATA C E C DE EF M;Estadual;277.93;272.59;4.673714
PR;4117057;Nova Laranjeiras;41103572;RUI BARBOSA C E EF M;Estadual;292.72;298.59;5.27066
PR;4117107;Nova Lorina;41001508;ARY J DRESCH C E EF M N PROFIS;Estadual;278.55;278.12;4.765206
PR;4117107;Nova Lorina;41001672;VALE DO TIGRE C E C M EF M;Estadual;273.6;299.6;5.017241
PR;4117206;Nova Olímpia;41006976;CAXIAS C E DQ DE EF M PROFIS;Estadual;273.63;285.47;4.806135
PR;4117214;Nova Santa Bárbara;41041232;ANTONIO C GOMES C E EF M PROFIS;Estadual;259.4;261.66;4.249839
PR;4117222;Nova Santa Rosa;41066154;GASPAR DUTRA C E MAL EF M PROFIS;Estadual;285.85;282.48;4.933004
PR;4117255;Nova Prata do Iguaçu;41087607;JOSE DE ALENCAR C E EM PROFIS;Estadual;277.66;281.92;4.809593
PR;4117271;Nova Tebas;41039343;ARI KFFURI C E C EF M;Estadual;291.66;267.57;4.791401
PR;4117271;Nova Tebas;41039408;CARLOS DRUM ARADE C E EF M PROFIS;Estadual;287.99;300.38;5.231024
PR;4117271;Nova Tebas;41039556;OLIDIA ROCHA C E C E F M;Estadual;259.9;287.74;4.64728
PR;4117271;Nova Tebas;41039637;VINICIUS DE MORAES C E C E F M;Estadual;279.88;303.66;5.166221
PR;4117297;Novo Itacolomi;41028236;TOME DE SOUZA C E EF M;Estadual;296.64;301.65;5.371525
PR;4117305;Ortigueira;41053761;ALTAIR MONGRUEL C E EF M PROFIS;Estadual;279.07;285.98;4.890174
PR;4117305;Ortigueira;41053907;BENTO M ROCHA NETTO C E C DR EF M;Estadual;264.32;276.47;4.540646
PR;4117305;Ortigueira;41054350;MACHADO DE ASSIS C E C EF M;Estadual;260.24;268,00;4.356546
PR;4117305;Ortigueira;41054415;MONJOLINHO C E C EF M;Estadual;261.9;266.46;4.356807
PR;4117305;Ortigueira;41054784;TANCREDO A NEVES C E C DR EF M;Estadual;276.57;269.01;4.60102
PR;4117305;Ortigueira;41054806;TEOTONIO VILELLA C E C DR EF M;Estadual;;;
PR;4117305;Ortigueira;41054873;VISTA ALEGRE C E C EI EF M;Estadual;270.8;276.71;4.63525
PR;4117305;Ortigueira;41162099;CENTRO EST EDUC PROFIS FL AG DE ORTIG;Estadual;297.7;305.18;5.439257
PR;4117305;Ortigueira;41380266;IZAIAS RAFAEL DA SILVA C E C EFM;Estadual;266.54;262.91;4.368832
PR;4117404;Ourizona;41022890;BENOIL F M BOSKA C E PROF EF M;Estadual;282.42;292.63;5.036776
PR;4117453;Ouro Verde do Oeste;41066359;OURO VERDE C E DE EF M PROFIS;Estadual;274.39;282.17;4.767408
PR;4117503;Paiçau;41024931;NEIDE BERTASSO BERALDO C E EF M PROFIS;Estadual;275.17;284.17;4.808303
PR;4117503;Paiçau;41024940;JOSE DE ANCHIETA C E C EF M;Estadual;;;
PR;4117503;Paiçau;41024982;PAICAU C E EF M N PROFIS;Estadual;269.59;279.31;4.657178
PR;4117503;Paiçau;41025040;VERCIES G DOS REIS C E C M EF M PROFI;Estadual;302.49;315.05;5.654287
PR;4117602;Palmas;41108701;CARLOS C E D EF M N PROFIS;Estadual;270.69;286.37;4.778316
PR;4117602;Palmas;41109228;PONCIANO J DE ARAUJO C E PE EF M PROFIS;Estadual;;;
PR;4117602;Palmas;41109422;SEBASTIAO PARANA C E C M EF M PROFIS;Estadual;295.93;290.55;5.195385
PR;4117602;Palmas;41145569;ALTO DA GLORIA C E EF M PROFIS;Estadual;254.67;253.73;4.064693
PR;4117602;Palmas;41148509;IFPR - CAMPUS PALMAS;Federal;;;
PR;4117602;Palmas;41387112;PAULO FREIRE C E DO C EF M;Estadual;;;
PR;4117602;Palmas;41388011;EDUARDO C E C M MONS EF M PROFIS;Estadual;274.7;294.62;4.958139
PR;4117602;Palmas;41531868;MARIA JOANA FERREIRA C E QUILOMBOLA EFM;Estadual;256.43;249.26;4.022496
PR;4117602;Palmas;41602072;COLEGIO SESI PARANA ENSINO MEDIO;Privada;;;
PR;4117701;Palmeira;41060997;ALBERTO GONCALVES C E D EF M PROFIS N;Estadual;276.28;287.24;4.869851
PR;4117701;Palmeira;41061012;AMADEU MARIO MARGRAF C E EF M;Estadual;;;
PR;4117701;Palmeira;41061330;FRITZ KLIEWER C E C EF M;Estadual;297,00;304.18;5.414455
PR;4117701;Palmeira;41061390;HENRIQUE STADLER C E C EF M;Estadual;268.52;259.14;4.340204
PR;4117701;Palmeira;41061624;PINHEIRAL DE BAIXO C E C DE EF M;Estadual;298.81;290.24;5.231194
PR;4117701;Palmeira;41061748;SAO JUDAS TADEU C E C M EF M PROF;Estadual;293.49;296.78;5.254379
PR;4117701;Palmeira;41374070;CENTRO EST EDUC PROFIS AG GETULIO VARGAS;Estadual;281.13;279.65;4.824347
PR;4117800;Palmital;41095537;JOAO C DA COSTA C E C M EF M PROFIS;Estadual;301.13;301.12;5.426653
PR;4117800;Palmital;41095553;JOAO F NEVES C E DR EF M N PROFIS;Estadual;272.58;286.33;4.804262
PR;4117800;Palmital;41095901;JOAO PAULO II C E EF M;Estadual;280.37;292.1;5.00005
PR;4117800;Palmital;41597940;ZUMBI DOS PALMARES C E C EF M;Estadual;;;
PR;4117909;Palotina;41066510;DOMINGOS FCO ZARDO C E EF M;Estadual;272.44;289.89;4.855589
PR;4117909;Palotina;41066537;EUGENIO GARMATZ C E DO C PROF EF M;Estadual;268.87;285.17;4.73479
PR;4117909;Palotina;41066685;RIO BRANCO C E C M BAR DO EF M;Estadual;295.62;299.14;5.319624
PR;4117909;Palotina;41066731;SANTO AGOSTINHO C E EF M PROFIS N;Estadual;301.41;303.95;5.47295
PR;4117909;Palotina;41389506;ADROALDO A COLOMBO C A E EDUC PROFIS;Estadual;274.68;273.56;4.642589
PR;4118006;Paraíso do Norte;41001745;PARAISO DO NORTE C E EF M N;Estadual;267.28;280.82;4.647339
PR;4118105;Paranacity;41001869;ANTONIO TORTATO C E EM N PROFIS;Estadual;270.61;276.88;4.635127
PR;4118204;Paranaguá;41140370;ALBERTO GOMES VEIGA C E EM PROFIS;Estadual;283.6;298.34;5.138828
PR;4118204;Paranaguá;41140443;ARTHUR M RAMOS C E DR EF M;Estadual;264.55;272.96;4.491332
PR;4118204;Paranaguá;41140494;BENTO M DA ROCHA NETO C E EF M;Estadual;241.12;251.75;3.844744
PR;4118204;Paranaguá;41140516;INST E ED DR CAETANO M ROCHA EF M N P;Estadual;270.37;282.82;4.720678
PR;4118204;Paranaguá;41140524;CARMEN COSTA ADRIANO C E PROF EF M;Estadual;269.33;273.99;4.573886
PR;4118204;Paranaguá;41140567;CIDALIA REBELLO GOMES C E EF M;Estadual;271.96;283.74;4.756782
PR;4118204;Paranaguá;41140605;DIDIO A DE C VIANA C E C M EF M;Estadual;;;
PR;4118204;Paranaguá;41140729;HELENA VIANA SUIN C E C M EF M PROFIS;Estadual;283.75;301.95;5.194977
PR;4118204;Paranaguá;41140788;JOSE BONIFACIO C E EF M PROFIS;Estadual;272.23;286.78;4.806083
PR;4118204;Paranaguá;41141008;COLEGIO BOM JESUS NOSSA SENHORA DO ROSARIO ED INF ENS FU E MEDIO;Privada;;;
PR;4118204;Paranaguá;41141199;SAO FRANCISCO C E EF M;Estadual;;;
PR;4118204;Paranaguá;41141288;ZILAH DOS S BATISTA C E PROFA EF M P;Estadual;264.42;274.9;4.518548
PR;4118204;Paranaguá;41150848;FELIPE VALENTIM C E C EF M;Estadual;;;
PR;4118204;Paranaguá;41152972;COLEGIO SESI PARANAGUA;Privada;;;
PR;4118204;Paranaguá;41366522;EVANGELICO JERUSALEM C EI EF M;Privada;;;
PR;4118204;Paranaguá;41366611;MARIA DE L R MOROZOWSKI C E PROF EF M;Estadual;265.3;282.49;4.64453
PR;4118204;Paranaguá;41407024;ALEXARA C E C DE EF M PROFIS;Estadual;272.08;272.46;4.589605
PR;4118204;Paranaguá;41532147;PORTO SEGURO C E EF M PROFIS;Estadual;262.32;269.21;4.403874
PR;4118204;Paranaguá;41570936;IFPR - CAMPUS PARANAGUA;Federal;;;
PR;4118303;Paranapoema;41001893;LYSIMACO F DA COSTA C E EF M;Estadual;284.92;296.55;5.130571
PR;4118402;Paranavaí;41001940;ADELIA ROSSI ARNALDI C E C EF M;Estadual;;;
PR;4118402;Paranavaí;41002024;BENTO M DA R NETO C E PROF EF M PROFIS;Estadual;264.48;272.83;4.488402
PR;4118402;Paranavaí;41002130;ENIRA MORAES RIBEIRO C E EF M PROFIS;Estadual;;;
PR;4118402;Paranavaí;41002148;FLAUZINA DIAS VIEGAS C E C M EF M;Estadual;266.09;271.98;4.49829
PR;4118402;Paranavaí;41002261;JOSE DE ANCHIETA C E C EF M;Estadual;274.08;269.03;4.566348
PR;4118402;Paranavaí;41002296;LEONEL FRANCA C E C M EF M PROFIS;Estadual;300.37;306.35;5.494272
PR;4118402;Paranavaí;41002326;MARINS A DE CAMARGO C E DR EF M PROFIS;Estadual;289.18;299.96;5.24145
PR;4118402;Paranavaí;41002415;PARANAVAI C E DE EF M N PROFIS;Estadual;273.73;277.42;4.687031
PR;4118402;Paranavaí;41002636;SILVIO VIDAL C E C M EF M PROFIS;Estadual;280.29;290.97;4.98201
PR;4118402;Paranavaí;41146948;COLEGIO SESI PARANAVAI ENSINO MEDIO;Privada;;;
PR;4118402;Paranavaí;41147502;IFPR - CAMPUS PARANAVAI;Federal;309.59;317.17;5.785742
PR;4118451;Pato Bragado;41066847;PATO BRAGADO C E EF M;Estadual;308.71;296.09;5.457814
PR;4118501;Pato Branco;41093216;AGOSTINHO PEREIRA C E PROF EF M PROFIS;Estadual;280.12;283.11;4.861958
PR;4118501;Pato Branco;41093259;SAO JOAO C E EF M;Estadual;;;
